식품명,식품대분류명,식품중분류명,100g당 에너지(kcal),단백질(g),지방(g),탄수화물(g)
새송이버섯볶음_새송이버섯_채소,side dish,볶음류,32,1.44,1.95,4.13
소시지볶음_채소,side dish,볶음류,119,5.74,7.61,6.78
순대볶음,side dish,볶음류,89,2.89,4.17,10.69
순대볶음_떡,side dish,볶음류,92,2.74,3.42,13.27
어묵볶음_어묵_채소,side dish,볶음류,88,4.25,3.57,10.04
오징어볶음_채소,side dish,볶음류,82,8.49,2,7.65
잡채_돼지고기,side dish,볶음류,126,2.69,3.13,21.92
잡채_버섯,side dish,볶음류,107,0.94,2.53,20.62
햄채소볶음,side dish,볶음류,68,6.3,3.03,3.82
고등어조림_배추김치,side dish,조림류,105,9.61,4.82,5.73
꽁치조림_배추김치,side dish,조림류,88,10.29,2.52,5.79
꽁치조림_채소,side dish,조림류,88,10.59,2.6,5.36
닭도리탕,side dish,조림류,122,9.82,5.33,8.85
닭조림,side dish,조림류,117,10.45,5.42,6.4
동태조림,side dish,조림류,64,10.06,0.51,4.5
두부조림,side dish,조림류,142,11.5,6.18,10.26
연근조림,side dish,조림류,76,1.6,0.74,16.09
우엉조림,side dish,조림류,88,2.71,1.05,17.89
장조림_돼지고기_메추리알,side dish,조림류,114,11.35,5.15,4.75
가지나물,side dish,나물·숙채류,25,1.06,0.85,3.82
고구마줄기나물,side dish,나물·숙채류,22,0.56,1.13,2.45
배추나물_간장_소금,side dish,나물·숙채류,18,1.01,0.73,2.45
배추나물_된장,side dish,나물·숙채류,32,1.72,1.25,4.25
숙주나물_숙주,side dish,나물·숙채류,15,1.05,0.74,1.53
숙주나물_숙주_채소,side dish,나물·숙채류,15,0.97,0.68,1.66
숙주미나리나물,side dish,나물·숙채류,18,1.11,0.85,1.97
시금치나물_간장_소금,side dish,나물·숙채류,25,1.6,1,3.26
열무나물_된장,side dish,나물·숙채류,30,2.19,1.15,3.61
유채나물_간장_소금,side dish,나물·숙채류,22,2.1,0.82,2.68
참나물,side dish,나물·숙채류,14,0.72,0.56,1.94
취나물_간장_소금,side dish,나물·숙채류,25,1.04,1.01,3.7
골뱅이무침_채소,side dish,생채·무침류,69,5.98,0.84,10.29
단무지무침,side dish,생채·무침류,41,1.02,1.78,5.51
도라지생채_오이,side dish,생채·무침류,41,1.3,0.52,8.79
도토리묵무침_채소,side dish,생채·무침류,60,1.28,1.2,11.66
돌나물,side dish,생채·무침류,44,1.16,1.04,8.68
마늘쫑무침,side dish,생채·무침류,67,1.63,1.14,14.55
무생채_식초,side dish,생채·무침류,35,1.01,0.8,6.59
무생채(무만),side dish,생채·무침류,30,1.03,0.56,5.77
미역초무침,side dish,생채·무침류,31,1.48,0.71,6.85
부추무침_부추,side dish,생채·무침류,24,1.02,0.74,3.95
부추무침_부추_채소,side dish,생채·무침류,30,1.16,1.13,4.43
상추겉절이,side dish,생채·무침류,21,0.89,0.69,3.39
샐러드_마카로니,side dish,생채·무침류,140,2.37,8.17,13.76
샐러드_옥수수,side dish,생채·무침류,131,1.32,8.5,12.51
얼갈이겉절이,side dish,생채·무침류,25,1.14,0.71,4.09
오이생채_오이,side dish,생채·무침류,30,1.24,0.48,6.21
오이생채_오이_부추,side dish,생채·무침류,36,1.72,0.95,6.4
오이지무침,side dish,생채·무침류,28,0.76,1.09,4.3
오징어무침_채소,side dish,생채·무침류,51,5.49,0.82,5.8
오징어채무침_채소,side dish,생채·무침류,113,11.61,1.81,13.52
참나물겉절이_고춧가루,side dish,생채·무침류,18,0.74,0.6,2.91
청포묵무침,side dish,생채·무침류,43,1.3,1.68,6.54
치커리겉절이,side dish,생채·무침류,22,0.72,0.73,3.51
파래무침_파래_무,side dish,생채·무침류,23,1.07,0.38,4.86
